"RestaurantName","PostCode","RatingText","InspectionDate","RatingNum"
"12-22 Restaurant","BT2 8BS","Food hygiene rating is '5': Very good","17 August 2017","5"
"227 Restaurant","BT6 8PY","Food hygiene rating is '5': Very good","31 March 2017","5"
"3 Levels","BT7 1NA","Food hygiene rating is '5': Very good","31 October 2018","5"
"387 Ormeau Road","BT7 3GP","Food hygiene rating is '5': Very good","11 July 2017","5"
"39 Gordon Street and Lux","BT1 2LH","Food hygiene rating is '5': Very good","12 December 2014","5"
"438 Coffee Bake","BT7 3HY","Food hygiene rating is '5': Very good","15 May 2017","5"
"5A","BT9 5FH","Food hygiene rating is '5': Very good","17 May 2017","5"
"A & C Cafe Espresso Bar","BT1 3LA","Food hygiene rating is '5': Very good","06 March 2018","5"
"AC Hotel by Marriott","BT1 3FE","Food hygiene rating is '5': Very good","04 September 2018","5"
"Acapulco Mexican Restaurant LLP","BT4 3JF","Food hygiene rating is '5': Very good","09 August 2017","5"
"Acton and Sons","BT2 7GE","Food hygiene rating is '5': Very good","19 February 2018","5"
"ADA Restaurant","BT1 6AD","Food hygiene rating is '5': Very good","16 May 2018","5"
"Al Gelato","BT7 3GP","Food hygiene rating is '5': Very good","28 July 2017","5"
"Allied Bakeries (Canteen)","BT5 5HW","Food hygiene rating is '5': Very good","12 March 2018","5"
"Allotment Bistro","BT1 6FD","Food hygiene rating is '5': Very good","31 March 2017","5"
"AM:PM","BT1 4GH","Food hygiene rating is '5': Very good","Recently inspected – new rating to be published soon","5"
"Amadeus at Belfast Castle","BT15 5GR","Food hygiene rating is '5': Very good","31 March 2017","5"
"Amadeus at Malone House","BT9 5PB","Food hygiene rating is '5': Very good","13 January 2017","5"
"Amadeus at The Lions Den Restaurant","BT36 5ED","Food hygiene rating is '5': Very good","28 January 2017","5"
"Amadeus at The Stables","BT17 9LA","Food hygiene rating is '5': Very good","19 July 2018","5"
"Amadeus at Treetop Tearoom Cafe","BT36 5ED","Food hygiene rating is '5': Very good","07 June 2017","5"
"Angela's Sandwich Bar & Bistro","BT15 2HF","Food hygiene rating is '5': Very good","14 February 2018","5"
"Apple Jacks","BT11 8RF","Food hygiene rating is '5': Very good","14 September 2018","5"
"Arabesque","BT7 1PH","Food hygiene rating is '5': Very good","19 October 2017","5"
"Aramark @ Dundonald House","BT4 3SS","Food hygiene rating is '5': Very good","11 July 2018","5"
"Aramark @ Tesco Staff Canteen","BT4 2PW","Food hygiene rating is '5': Very good","15 March 2018","5"
"Aramark @ Tesco Staff Canteen","BT15 1WA","Food hygiene rating is '5': Very good","04 October 2017","5"
"Aramark @ Tesco Staff canteen","BT5 5FT","Food hygiene rating is '5': Very good","03 October 2017","5"
"Aramark @ Tesco Staff Canteen","BT13 3LD","Food hygiene rating is '5': Very good","09 October 2017","5"
"Aramark @ Tesco Staff Canteen","BT15 3BG","Food hygiene rating is '5': Very good","16 October 2017","5"
"Aramark @ Tesco Staff Canteen","BT9 7EP","Food hygiene rating is '5': Very good","17 January 2018","5"
"Aramark @ Tesco Staff Canteen","BT17 9NP","Food hygiene rating is '5': Very good","26 September 2018","5"
"Aramark at C.C.E.A.","BT1 3BG","Food hygiene rating is '5': Very good","17 July 2018","5"
"Aramark at Castle Buildings","BT4 3SR","Food hygiene rating is '5': Very good","04 July 2018","5"
"Aramark at Department of Economy","BT4 2JP","Food hygiene rating is '5': Very good","26 June 2018","5"
"Aramark At Heritage Cafe Proni","BT3 9HQ","Food hygiene rating is '5': Very good","04 October 2018","5"
"Aramark at Tesco C.D.C.","BT12 6HP","Food hygiene rating is '5': Very good","10 January 2018","5"
"Aramark@AIB Belfast","BT1 3HH","Food hygiene rating is '5': Very good","06 June 2018","5"
"Archana","BT2 7HE","Food hygiene rating is '5': Very good","03 August 2017","5"
"Arthur Coffee House","BT1 4LS","Food hygiene rating is '5': Very good","31 March 2017","5"
"Arthurs Coffee House","BT1 4GJ","Food hygiene rating is '5': Very good","30 November 2017","5"
"Ashers Baking Co","BT3 9JU","Food hygiene rating is '5': Very good","25 January 2017","5"
"Aspire Lounge","BT3 9JH","Food hygiene rating is '5': Very good","24 August 2016","5"
"Avoca","BT1 4GG","Food hygiene rating is '5': Very good","25 May 2017","5"
"B & A Catering","BT8 7XP","Food hygiene rating is '5': Very good","06 December 2016","5"
"B&Q; Cafe","BT3 9EJ","Food hygiene rating is '5': Very good","13 December 2016","5"
"B-Bar Mexican Deli","BT36 7QW","Food hygiene rating is '5': Very good","05 October 2018","5"
"Baker Street","BT4 2AN","Food hygiene rating is '5': Very good","01 May 2018","5"
"Balmoral Hotel","BT10 0ND","Food hygiene rating is '5': Very good","20 October 2016","5"
"Bang Kok","BT2 8FE","Food hygiene rating is '5': Very good","21 August 2018","5"
"Bank Of Ireland","BT1 5JA","Food hygiene rating is '5': Very good","25 April 2017","5"
"Barista Belfast VT2","BT3 9JL","Food hygiene rating is '5': Very good","06 October 2016","5"
"Barista Coffee House - Stenaline","BT3 9JL","Food hygiene rating is '5': Very good","28 September 2017","5"
"Barristers Private Restaurant and the Bar Library Function Rooms","BT1 3JQ","Food hygiene rating is '5': Very good","10 August 2018","5"
"Basils","BT15 3PG","Food hygiene rating is '5': Very good","18 September 2018","5"
"BaxterStorey at British Airways","BT3 9JH","Food hygiene rating is '5': Very good","06 April 2016","5"
"BaxterStorey at Danske Bank","BT1 6JH","Food hygiene rating is '5': Very good","24 October 2016","5"
"Baxterstorey at PWC","BT1 3BS","Food hygiene rating is '5': Very good","14 September 2017","5"
"BBC","BT2 8HQ","Food hygiene rating is '5': Very good","21 October 2016","5"
"BBC","BT2 7BB","Food hygiene rating is '5': Very good","19 September 2017","5"
"Beehive Catering @ Union Theological College","BT7 1JT","Food hygiene rating is '5': Very good","13 October 2017","5"
